Type,Section,Rule_ID,Drug_Medication,Condition_Disease,Rationale_Reason,Full_Text
START,Section H: Musculoskeletal System,3,Vitamin D,in patients with known osteoporosis and/or previous fragility fracture(s) and/or Bone Mineral Density T-scores below -2.5 in one or multiple sites.,Omission of indicated therapy,Vitamin D in patients with known osteoporosis and/or previous fragility fracture(s) and/or Bone Mineral Density T-scores below -2.5 in one or multiple sites.
START,Section H: Musculoskeletal System,4,"Bone anti-resorptive or anabolic therapy (e.g., bisphosphonate, teriparatide, denosumab)",in patients with documented osteoporosis (Bone Mineral Density T-scores below -2.5 in one 13 or multiple sites) and/or previous history of fragility fracture(s) – where no pharmacological or clinical status contraindication exists such as poor one-year life expectancy.,Omission of indicated therapy,"Bone anti-resorptive or anabolic therapy (e.g., bisphosphonate, teriparatide, denosumab) in patients with documented osteoporosis (Bone Mineral Density T-scores below -2.5 in one 13 or multiple sites) and/or previous history of fragility fracture(s) – where no pharmacological or clinical status contraindication exists such as poor one-year life expectancy."
START,Section H: Musculoskeletal System,5,Vitamin D supplement,"in older people with confirmed 25-hydroxycolecalciferol deficiency (< 20 micrograms/L, < 50 nmol/L) who are housebound or experiencing falls or with osteopenia (Bone Mineral Density T-score is less than -1.0 but above -2.5 in one or multiple sites).",Omission of indicated therapy,"Vitamin D supplement in older people with confirmed 25-hydroxycolecalciferol deficiency (< 20 micrograms/L, < 50 nmol/L) who are housebound or experiencing falls or with osteopenia (Bone Mineral Density T-score is less than -1.0 but above -2.5 in one or multiple sites)."
START,Section H: Musculoskeletal System,6,"Anti-resorptive treatment after discontinuation of at least two doses of denosumab (rebound increased bone turnover markers, BMD loss, and increased risk of vertebral fracture following denosumab discontinuation).",Review Manually,Omission of indicated therapy,"Anti-resorptive treatment after discontinuation of at least two doses of denosumab (rebound increased bone turnover markers, BMD loss, and increased risk of vertebral fracture following denosumab discontinuation)."
START,Section H: Musculoskeletal System,7,Anti-resorptive treatment after discontinuation of teriparatide/abaloparatide treatment,for osteoporosis.,Omission of indicated therapy,Anti-resorptive treatment after discontinuation of teriparatide/abaloparatide treatment for osteoporosis.
START,Section H: Musculoskeletal System,8,"Xanthine-oxidase inhibitors (e.g. allopurinol, febuxostat)",with a history of recurrent episodes of gout.,Omission of indicated therapy,"Xanthine-oxidase inhibitors (e.g. allopurinol, febuxostat) with a history of recurrent episodes of gout."
START,Section H: Musculoskeletal System,9,Folic acid supplement,in patients taking methotrexate.,Omission of indicated therapy,Folic acid supplement in patients taking methotrexate.
START,Section I: Urogenital System,1,"Selective alpha-1 receptor blocker (e.g., tamsulosin, silodosin)",for lower urinary tract symptoms related to benign prostatic hyperplasia where prostatectomy is not considered necessary or appropriate or safe.,Omission of indicated therapy,"Selective alpha-1 receptor blocker (e.g., tamsulosin, silodosin) for lower urinary tract symptoms related to benign prostatic hyperplasia where prostatectomy is not considered necessary or appropriate or safe."
START,Section I: Urogenital System,2,"5-alpha reductase inhibitor (e.g., finasteride, dutasteride)",for lower urinary tract symptoms related to benign prostatic hyperplasia where prostatectomy is not considered necessary or appropriate or safe.,Omission of indicated therapy,"5-alpha reductase inhibitor (e.g., finasteride, dutasteride) for lower urinary tract symptoms related to benign prostatic hyperplasia where prostatectomy is not considered necessary or appropriate or safe."
START,Section I: Urogenital System,3,Topical vaginal oestrogen or vaginal oestrogen pessary,for symptomatic atrophic vaginitis.,Omission of indicated therapy,Topical vaginal oestrogen or vaginal oestrogen pessary for symptomatic atrophic vaginitis.
START,Section I: Urogenital System,4,Topical vaginal oestrogen or vaginal oestrogen pessary,in women for recurrent urinary tract infections.,Omission of indicated therapy,Topical vaginal oestrogen or vaginal oestrogen pessary in women for recurrent urinary tract infections.
START,Section I: Urogenital System,5,"Phosphodiesterase type-5 inhibitors (e.g., avanafil, sildenafil, tadalafil, vardenafil)",for persistent erectile dysfunction that causes distress.,Omission of indicated therapy,"Phosphodiesterase type-5 inhibitors (e.g., avanafil, sildenafil, tadalafil, vardenafil) for persistent erectile dysfunction that causes distress."
START,Section J: Endocrine System,1,ACE inhibitor or Angiotensin Receptor Blocker (if intolerant of ACE inhibitor),"in diabetes with evidence of renal disease i.e., dipstick proteinuria or microalbuminuria (>30 mg/24 hours) unless evidence of severe CKD (eGFR < 30 ml/min/m2).",Omission of indicated therapy,"ACE inhibitor or Angiotensin Receptor Blocker (if intolerant of ACE inhibitor) in diabetes with evidence of renal disease i.e., dipstick proteinuria or microalbuminuria (>30 mg/24 hours) unless evidence of severe CKD (eGFR < 30 ml/min/m2)."
START,Section K: Analgesics,1,High-potency opioids,"in moderate-severe non-arthritis pain, where paracetamol, NSAIDs or low-potency opioids are not appropriate to the pain severity or have been ineffective.",Omission of indicated therapy,"High-potency opioids in moderate-severe non-arthritis pain, where paracetamol, NSAIDs or low-potency opioids are not appropriate to the pain severity or have been ineffective."
START,Section K: Analgesics,2,Laxatives,"in patients receiving opioids regularly i.e., other than PRN use.",Omission of indicated therapy,"Laxatives in patients receiving opioids regularly i.e., other than PRN use."
START,Section K: Analgesics,3,Topical 5% lidocaine (lignocaine) patch,"for localized neuropathic pain, e.g. post-herpetic neuralgia.",Omission of indicated therapy,"Topical 5% lidocaine (lignocaine) patch for localized neuropathic pain, e.g. post-herpetic neuralgia."
START,Section L: Vaccines,1,Seasonal influenza vaccine annually.,Review Manually,Omission of indicated therapy,Seasonal influenza vaccine annually.
START,Section L: Vaccines,2,Pneumococcal vaccine at least once according to national guidelines.,Review Manually,Omission of indicated therapy,Pneumococcal vaccine at least once according to national guidelines.
START,Section L: Vaccines,3,Varicella-zoster vaccine according to national guidelines.,Review Manually,Omission of indicated therapy,Varicella-zoster vaccine according to national guidelines.
START,Section L: Vaccines,4,SARS-CoV2 vaccine according to national guidelines. 15,Review Manually,Omission of indicated therapy,SARS-CoV2 vaccine according to national guidelines. 15
